pair_id,lang1,lang2,link1,link2,overall,geo,ent,time,nar,style,tone
1497493200_1483751692,en,en,https://www.timesleader.com/wire/nation-world/774243/german-authorities-say-man-with-virus-in-critical-condition,https://nltimes.nl/2020/02/26/coronavirus-authorities-fear-german-tourist-brought-covid-19-netherlands,4,,4,3.5,3,2,4
1484036845_1483834236,en,en,https://www.standard.co.uk/news/uk/coronavirus-covid19-baby-boy-brighton-a4360856.html,https://www.standard.co.uk/news/uk/boris-johnson-coronavirus-intensive-care-latest-a4411776.html,4,,4,3.5,3,2,4
1497493201_1483751694,en,en,https://www.finanznachrichten.de/nachrichten-2020-03/49210097-linglong-tire-donated-medical-supplies-to-serbia-to-fight-covid-19-008.htm,https://tass.com/society/1151917,4,,4,3.5,3,2,4
1484036846_1483834237,en,en,https://www.cbn.co.za/featured/concor-head-rallies-sa-to-fight-virus/,https://www.zimeye.net/2020/03/18/ramaphosa-is-not-god-come-to-church-in-huge-numbers-church-leader-defies-coronavirus-measurers/,4,,4,3.5,3,2,4
1497493202_1483751695,en,en,https://www.wowo.com/holcomb-outlines-measured-lifting-of-lockdown/,http://rssfeeds.indystar.com/~/622938178/0/indystar/todaystopstories~Key-dates-in-Indianas-path-to-reopening-amid-the-coronavirus-pandemic/,4,,4,3.5,3,2,4
1484036847_1483834238,en,en,https://www.vice.com/en_us/article/akwa7p/these-are-the-impacts-of-trumps-coronavirus-fumblesand-how-to-protect-yourself,http://feeds.inquisitr.com/~r/google/yDYq/~3/7vNbN1BWHkw/,4,,4,3.5,3,2,4
1497493203_1483751696,en,en,https://www.foxbusiness.com/markets/stock-market-coronavirus-reaction-el-erian,https://www.foxbusiness.com/markets/central-bank-coronavirus-response-not-coordinated-enough-el-erian,4,,4,3.5,3,2,4
1484036848_1483834239,en,en,https://www.livemint.com/news/india/rajan-urges-modi-to-prioritise-spending-on-poor-cautions-about-rise-in-bad-loans-11586103660943.html,https://www.livemint.com/news/india/don-t-panic-during-21-day-lockdown-essential-supplies-will-be-available-pm-modi-tells-citizens-11585067076969.html,4,,4,3.5,3,2,4
1497493204_1483751697,en,en,https://timesofmalta.com/articles/view/our-words-shape-the-world-minister-colm-regan.779129,https://www.newsarawaktribune.com.my/some-people-acting-like-everythings-normal/,4,,4,3.5,3,2,4
1484036849_1483834240,en,en,https://tribuneonlineng.com/covid-19-palliative-fails-to-reach-most-vulnerable-nigerians-%e2%80%95-nycn/,https://tribuneonlineng.com/covid-19-nycn-makes-case-for-youths-in-fgs-palliatives/,4,,4,3.5,3,2,4
1497493205_1483751698,en,en,https://www.wsls.com/news/virginia/2020/04/15/virginia-sees-329-new-coronavirus-cases-now-reporting-6500-statewide/,https://www.whsv.com/content/news/VDH-confirms-1st-coronavirus-related-death-in-Virginia-568803331.html?dun,4,,4,3.5,3,2,4
1484036840_1483834241,en,en,http://feedproxy.google.com/~r/thedailybeast/articles/~3/991UCgQBz3Y/twitter-deleted-sheriff-clarkes-wildly-reckless-coronavirus-tweets-so-he-says-hes-going-to-parler,http://www.dailykos.com/stories/1928016,4,,4,3.5,3,2,4
